titles,content
Use Your Texas Unemployment Benefits at Codeup,"Eligible applicants can now use Texas Workforce Development funds to help pay for a bootcamp to become a professional software developer. Codeup is the first coding bootcamp in Texas to accept Workforce Improvement Act (WIA) benefits which are dedicated to helping adult and dislocated workers prepare for meaningful careers in a variety of targeted occupations. Software and web developers rank near the top of this list, in regards to average hourly wage. The first step is to find out if you’re eligible for funding by contacting our local workforce board, Workforce Solutions Alamo. Transitioning Servicemembers may qualify for funding as “dislocated workers.” With any questions, drop us a line at info@codeup.com or (210) 802-7289."
"Q&A with Luis Martinez, Director of Entrepreneurship at Trinity University","Dr. Luis Martinez, Director of the Center for Innovation and Entrepreneurship at Trinity University, visited the Codeup classroom to talk to our students about entrepreneurship. Below is a Q&A from the end of his presentation. The first thing to ask is, “what’s the true value proposition?”. So, “what’s the ‘it’ that’s really going to be valuable?”. The second questions is, “who is the customer?”. You really need to understand your customer better than they understand him or herself. That means talking to customers, that means working with customers, that means actually going to people and saying, “look I have this idea what do you think?”. So define the true value proposition you’re trying to provide, and then match that with real customers and real customer needs. Then the second step, once you make that connection and validate that value proposition with a customer match, is actually getting the “it” in front of somebody, or a version of the “it” in front of somebody to be able to sense whether or not it’s really going to be viable. Investors love you, but they love paying customers best. So between you and the investor, there’s the prototype, there’s the app that helps convince them there really is a path forward and not just some guys who’s nice to talk to but has nothing to offer. There’s a lot of stuff going on right now in high schools and middle schools, who are just beginning [entrepreneurship].  Venture Labs, which is just down the street [from Codeup], is doing some really great work in trying to put that into the curriculum. I don’t know if it’s a fad or if it will be here permanently, but we are seeing a lot more of it. We’re also seeing a lot more young college students getting involved in entrepreneurship. I love crowdsourcing and crowdfunding, I think it’s a great way of determining whether your thing is the upcoming thing that people wanna buy. The problem with crowdsourcing is that there’s just a lot of crap out there and there’s a lot of people who are not only selling you something, but a whole bunch of stuff that you’re not gonna get. So it’s great if you’re doing it for real and using it for the right reasons. From the inventor/startup side, it’s a phenomenal way of being able to say, “we have 5,000 people who want to buy our special sauce and so now we’ve taken that money we’re gonna go bottle that sauce.” But I urge you all to think about what the next thing is going to be. What’s after crowdsourcing? We’re already seeing a variety of that with equity crowdfunding, but is there something else that can be the next thing? When we think about the principles of crowdfunding, is there an opportunity to leapfrog and go just above that curve of innovation to be the first entrant, or occupy that first niche that does something differently? It’s still the same, but it makes selling it easier. It’s like, “Facebook for cats,” like, “Sea World without large mammals,” like, “Uber, but for boats.” It’s easier to sell; there’s a higher likelihood that you know who your customer are, because there are people using it already. The challenge is that some of the big companies are already thinking about those things and they have chosen not to pursue them for various reasons. The good news for startups is that maybe the reasons corporate companies chose not to pursue are the exact reasons why you should choose to pursue them as a startup: because they’re too big, too bureaucratic to understand the real opportunity, or they chose to pass on it. Be careful with an idea that’s similar to what other people are doing. Do your due diligence. Sometimes the patent literature is in the library and you can thumb through and see there was this old company that had that same idea 20 years ago, who then got bought out, and got bought, and got bought out, and no one ever did anything with it. Now if you just tweak that idea–by taking what they did and marrying it with the cloud, marrying it with crowdsourcing, marrying it with an app platform, social media–you will then be able to see the right opportunity. If those guys are still around, it might be worth finding them and asking, “whatever happened to that?”. You will need different pitches for different audiences at different times, so have them all ready. You should have your 10 second elevator pitch, your 2 sentence explanation of what you do, your 3 minute pitch, your Ted Talk; you should have a deck for an investors with appendices, a deck for sales to sell your thing. There are different kinds of ways of presenting for different kinds of audiences; have all of those presentations relatively polished so when that opportunity presents itself, you can pitch it right then. Be ready. Start with outlining the technically detailed way to say what you’re trying to say to other engineers, computer scientists, people who are in the field who do and see the need and will be able to make the thing that  you need to make. Then, think of the 35,000-foot big-picture version of what you’re trying to say, and sort of in between those is the rest of the world."
Exploring New Domains: ICANN’s gTLD Program,"  The Internet Corporation for Assigned Names and Numbers (ICANN), a non-profit organization responsible for maintaining the global Domain Name System (DNS), is in the middle of rolling out its new gTLD program, which has the potential to reshape how users find information on the internet and how organizations build their identities online. Kevin Kopas, Channel Manager for Radix Registry, stopped by the Codeup classroom to help students better understand the gTLD program and how it may transform the domain industry over the next few years. Domains are identifiers that create spaces of authority within the internet. A domain reflects an Internet Protocol address (IP address), which links to the server where a website is hosted.  Domains are organized according to a hierarchical model consisting of top-level, second-level, and lower-level domains. Top-level domains (TLDs) constitute the highest level of domains in the DNS. There are many types of TLDs–including country codes like .us, .uk, and .jp–and Generic Top-Level Domains (gTLDs), such as .com, .info, .edu, and .org. gTLDs are operated and managed by registries, like Radix. Second and lower-level domains directly follow TLDs and are located to the left of the “.” in a domain. For a visual, in the domain “codeup20.wpengine.com,”  “.com”  is the gTLD and “codeup” is the second-level domain. Typically, registries delegate the responsibility of allotting domain names to registrars, such as GoDaddy. Until recently, the list of gTLDs was limited to traditional strings, like the previously-mentioned .com and .net, as well as .gov, .mil, .org. and .edu. Over the years, the number of desirable and available second and third-level domains associated with these gTLDs has become increasingly scarce. To diversify the pool of available domains, ICANN is in the process of introducing 1300+ new gTLDs. These include everything from .baby, .mls, .dot,  and .realty, to .sucks, and .buy. Radix has acquired eight new gTLDs, including .space, and .website, and will soon be offering .tech. Registries can apply for a new gTLD through ICANN. In the case that multiple registries apply for the same gTLD, those companies partake in an auction to determine the winner. ICANN runs its own auction to solve these contention sets; however, companies have found ways to resolve these disputes before reaching ICANN through private auctions like Applicant Auction, which have their own rules and regulations. Sometimes companies even negotiate deals on their own instead of conducting a private auction. The winning price for each gTLD varies. Registries often play a high-stakes guessing game where big prices have the potential for big returns. For example, on the low end of the March 2015 ICANN auction  , .srl was purchased for $400,000; on the high end, Google purchased .app for $25 million. In Kopas’ opinion, slowly but surely, the .coms and .nets of the world will become overpowered by more specific gTLDs. While the impending end of the .com era may be sad for some, this shift also opens up new opportunity for creativity and specificity in a company’s branding and marketing. With a more diverse list of available gTLDS, companies can better align their web presences with their products or services: a beauty salon could use .salon or an independent realtor could use .realtor. On the flip side, users will be able to tailor their searches based on a company’s gTLD. This change also has the potential to offer credibility to businesses in certain industries. For example, in order to obtain a .law domain, the applicant must be a licensed practitioner. But will these new gTLDs ever really become the norm? Will Google’s $25 million investment in .app produce a sizable ROI? Only time will tell. In order for this shift to happen, consumers must understand the industry and recognize the new variety of available gTLDs. Thanks to Kopas, Codeup students are now “in the know” about the changing domain of domains! For more info on the upcoming gTLD changes, check out ICANN’s FAQ page. To hear about how applicants plan to use the new gTLDs, watch ICANN’s video series."
Using Git as a Communication Tool,"As Josh Freeman of Grok Interactive shared with our students during a lunchtime talk, it’s extremely important to maintain quality communication when working on a project. Git, while primarily a tool for version control, can be used to facilitate this kind of interaction. Freeman recommends two simple steps to maximize communication in Git. 1. Use the Git commit as an opportunity to increase communication by explaining the changes you make to your code, as opposed to explaining it in a comment. Set up a Git commit template, or a standardized layout for commit messages. Freeman’s template is listed below. Don’t forget, your commit message summary must be 50 characters or less; all other lines should be under 72 characters. (Configuring your Git commit template) Example Git Commit Template: 2. Organize your commits logically. Sections of code that don’t relate to each other shouldn’t be committed together. Instead, break your code into logical sections and commit each section separately. You can accomplish this by adding to the index in patches, which allows you to stage parts of files and provides finer control over what you commit. Maintaining an organization to your commits will make it much easier to communicate via the commit template. (Adding to the index in patches) Following these two simple Git guidelines can prevent frustration that arises when deciphering code. Communication is key not only for your current team members, but also for your future self or future developers who may inherit your code sometime down the line."
The Delorean Gets a Ride,"Our beloved Delorean took a ride in the tow truck today. Once it’s back from the shop, life will be complete again. Cross your fingers!    "
"6 SEO Tips From SEO Guru, Matt Egan","Last Thursday, Matt Egan, founder of San Antonio-based Search Engine Optimization agency, Image Freedom, spoke to our Full-Stack Bootcamp students during our weekly lunchtime talk series. Read on for six SEO takeaways from his presentation. The title tag, or the text written on the tab of your website, is a huge factor in your SEO ranking and should be as simple and straightforward as possible. The title tag is not the place for creative metaphors or puns: if your website is about finding cheap flights, the word “cheap flights” should most definitely be in your title tag. Likewise, the keywords you choose to emphasize on your website–especially the keywords within the first block of content on the homepage–should convey your purpose as concisely and simply as possible. Borrowing from the wisdom of Parks and Rec’s Ron Swanson, this quote means you should avoid spreading the same keywords across multiple pages on your site. Decide early on which keywords you want on each page and stick to it. If you need to reuse a keyword on a separate page, you can always put it in an image (which Google can’t read) or link it back to the original page where the keyword is emphasized. Never use the words, “click here” on your website to direct users to links or documents. “Click here” has been used so frequently to link to Adobe PDFs that, when you Google it, Adobe Reader is the first or second item listed. Using “click here” can actually hurt your SEO. Instead, use a link title that describes the content to which it’s linking. Example:
“For more information about Codeup’s Teen SummerCamp, click here.” = WRONG!
“Learn more about Codeup’s Teen SummerCamp.” = RIGHT! Shareable content, like a free brochure or infographic, can increase the amount of people linking to your site. When it comes to SEO, quality links are golden. You want as many quality links as you can get! Google is changing their algorithm (again) to factor in a site’s mobile-friendliness. This change is set to be released during the week of April 21st, 2015. If you want to maximize your SEO (and minimize mobile users’ frustration when browsing your site), you must ensure that your website uses responsive design. Not sure if your site is responsive? Use Google’s free mobile friendliness test to find out."
What is the Value of a Codeup Education?,"This is a guest article by Michael Taylor, originally posted at The Rivard Report and Bankers Anonymous.   Like many, I see education from a combination of angles. Unquestionably, education makes us broader thinkers and more sparkling conversationalists. Education makes us more actualized humans. But as a finance guy, a small evil part of me always applies the $64,000 Wall Street question to every activity – from brushing my teeth to tossing a ball with a (in my case, non-existent) dog. [1] It’s the bottom-line question: “How is this making me money, like, right now?” [2]
 One of the problems of education, generally, is that we have a hard time proving or quantifying its value. What is the value of holding your shoulders back and head high when you walk into a job interview, knowing you’re the best they’re going to interview that week? Or the value of the feeling, when given a work assignment, of “Boom! I got this!” Philosophically, how can you put a value on just knowing more stuff? The weird thing about my friend Michael Girdley – who started the computer coding school Codeup – is that he’s ambitious enough to say that the education community tradition of waving a hand at hard-to-measure fuzzy feelings is not good enough. Just because the education community finds it difficult to measure value doesn’t mean that business people shouldn’t try. In less than two years he’s established a pattern of tracking data on the most important finance question of education. By that, I mean the bottom-line question: How is this making me money, like, right now? Girdley shared with me the pre-Codeup and post-Codeup earnings of his students, along with some useful stats on entry-level and mid-career web developer salaries. Using a couple of his statistics, I want to take a stab at figuring out the total value, right now, of a student’s investment in Codeup. “The average Codeup graduate saw her annual salary jump $13,035 in the year after graduation from the program.” What does that really mean? What can you do with that number if you plan, say, 30 working years at this higher salary? It would be great to say that a Codeup education is worth 30 times $13,035, or $391,050. However, money in the future is not as valuable to me as money today, so that calculation is not quite accurate. I mean, you could figure it, but finance guys will give you the time value of money speech that you don’t want to hear again. With a salary increase of just $13,035, we can calculate what that amount is worth today by using a discounted cashflow formula. So let’s be sophisticated and apply our discounted cashflow formula to 30 years of earnings, elevated by $13,035. I have to assume a “discount rate,” which is some combination of taking into account inflation and future investment risks. I’m going to assume a 5% discount rate. [3] Using my 5% discount rate, I estimate the value today of my elevated salary to be $200,379.90. That’s the sum of 30 years’ worth of $13,035, but “discounted,” or translated back, into today’s dollars. That discounting allows us to more accurately compare the $16,000 tuition for Codeup with the total financial value, today, of that education. By that measure, you pay Codeup $16K today for something worth on average, $200K, today. [4] Another way of putting it is that you are buying something today worth 12.5 times that amount. With these numbers, Codeup sounds like pretty good deal.  “The average web developer, nationally, earns $91,750. That’s $61,525 more than the average pre-Codeup salary of surveyed Codeup students.” So that’s interesting. We can imagine a number of reasons for this difference which don’t have to do with the value of Codeup. Maybe the average web developer is older and more experienced on the job than the average pre-Codeup student. Maybe national salaries are higher than San Antonio salaries, on average. I mean, I’m sure they are. But still. If one of your goals is to swim in a higher-paid talent pool, it might pay to learn the butterfly stroke. How much would 15 peak years of earning $61,525 more than you earn now be worth, like, right now? Again, I don’t think it’s as high as 15 times $61,525, or $922,875, because of the whole discounted cashflow of money in the future not being worth as much money today. Also, to be fair, you probably won’t earn the average national salary until you had a few years to ramp up your career. But what about discounting 15 years of an additional $61,525 per year, at a 5% rate, starting 5 years from now, using the exact same formula that we used before? [5] Discounting those 15 years of earning the average industry salary gives me a value, today, of $500,366.44. Which, to state the obvious, is 31X the price of tuition. With those kinds of numbers I start to feel like that sales guy from Entourage: “What if I was to tell you that you’d pay $16,000 tuition to Codeup for something worth $500K today? Is that something you might be interested in?” Look, seriously, there are a lot of assumptions embedded in my statement that “you could pay $16K in tuition today for future salary jumps worth $500K, today.” Most important of these is the assumption that, by training as a programmer, you can earn the national average salary for programming jobs. And we all know there’s no guarantee that happens. But – and this is a big but [6] – it’s not a crazy assumption. Because, really, it’s an assumption that the average happens. It’s an assumption that you could be paid what other people in your industry are generally paid. It’s an assumption that markets are somewhat efficient.  It’s an assumption that, if you have valuable skills, you can find employers and work situations just like other people. All of which makes me pretty confident that the financial return on a skills upgrade like Codeup can be somewhere between 12 and 31 times the upfront tuition cost. As I said before, education leads to more sparkling conversations as well as to a more fully actualized life. Of that, I have no doubt. But I appreciate my friend Girdley’s business-like approach to showing that the value of his program can be somewhere between a 12 and 31 times multiple of your investment. Just thinking like a finance guy, is that something you might be interested in? ——–
[1] Notice I haven’t gotten a dog because – I ask you – where’s the profit in that?
[2] I’m still working on monetizing my teeth-brushing.
[3] How did I come up with 5%? Sorta kinda I used art in addition to science. You could call inflation 2%, so that’s a baseline for discounting the value of money in the future. Then there’s the future risk of actually earning the elevated salary, which after all is a big assumption, and also an average, and as we always say in finance ‘results may vary, past performance is no predictor of future results, etc,’ so there’s a few % points added to the inflation rate to account for that kind of risk. If you don’t like my 5% assumption, make your own, I can’t promise you I’m “right” about a 5% discount rate. You might be just as right with a different assumption. Also, remember the faux philosopher and native San Antonian Jack Handey is a good guide to these disagreements: “Instead of having ‘answers’ on a math test, they should just call them ‘impressions,’ and if you got a different ‘impression,’ so what, can’t we all be brothers?”
[4] In addition to the $16K tuition of course you have to do a lot of work to not only learn to code, but also, you know, earn a salary in the future. So there’s still that whole ‘work’ problem. But if you have to work, it’s nice for the finance part to at least make sense, no?
[5] Why did I choose 15 years and not 30 this time? Mostly because I don’t think it’s fair to assume a Codeup graduate’s salary jumps immediately to the average national salary. You work up to that. For that same reason, I calculated the value with a 5 year delay, to account for a slow ramp-up. Again, Jack Handey comes to mind: “If you ever teach a yodeling class, probably the hardest thing is to keep the students from just trying to yodel right off. You see, we build to that.”
[6] Hhhnn-huh. Heh. (Shut up, Beevis.)
"
Demo Day Summary,"  Demo Day at our new space in Geekdom’s Event Centre was a success! Read on for a recap of Codeup students’ final projects. My Garage Sale Kevin Bongiovanni, Nicole DeBord, Felice Malaszowski
My Garage Sale offers a promotional platform for home garage sales. Hosts can create seamless sale pages and avid “pickers” can browse local listings quickly and conveniently. The app was built using the Laravel framework, PHP, MySQL, JavaScript, jQuery, CSS3, HTML5, Twitter Bootstrap, and the Google Maps API. Version control was handled with GitHub. My Garage Sale also features tagging systems and image uploads. InsureJoy   Chris Fuhrman, Travis French, Marissa Vega
InsureJoy takes the hassle out of buying life insurance. Users can browse life insurance policies without overwhelming and pushy insurance agents, using simple, clear, and transparent price comparisons. This web app was built using Laravel, PHP, MySQL, JavaScript, jQuery, Twitter Bootstrap, and Dropzone.js. InsureJoy also features user logins, an admin/company dashboard, profile/user dashboard, 3rd party integration, and contact messaging. Version control was completed using Git and GitHub. Rover Sleepover   Calvin Glover, Michael Gudowski, Stephanie Riera
Rover Sleepover creates a space for four-legged friends within the growing sharing economy. An “Airbnb for dogs,” the site connects dog owners with dog lovers who understand the stress of finding a safe place for a “Rover” to stay over when his/her owner goes out of town. Rover Sleepover uses the Laravel framework, Google Maps API, PHP, MySQL, jQuery, HTML and CSS to create a simple user interface application for both users and hosts. Serve Search   Jeff Brown, Paul Love, David Runnels
Serve Search was built with the idea that serving one’s community and making the world a better place should be easy. The app applies the approach of on-demand movies, one-click shopping, and the convenience of the “get it now” culture to volunteering with community organizations. Serve Search was built using, Laravel, PHP, MySQL, JavaScript, jQuery, and Bootstrap. Development was done in the Vagrant environment and version control was completed with Git and GitHub. The site was designed mobile first and is fully responsive. Interested in hiring a Codeup grad?  Check out grad profiles on our nifty alumni portal!"
Advice for Programmers,"As our most recent cohort flies the coop, they leave us with a plethora of wise words for aspiring and experienced programmers alike: “Work together as much as possible.” “When you’re stuck on something, don’t be afraid to walk away, take a break, and come back.” “Read the documentation.” “Everything builds on the foundation.” “Ask questions! Don’t be afraid to ask questions.” “Ask questions even if you think you’ve got it!” “Take advantage of all the resources available to you.” “This is all about cooperative and collaborative learning.” “Accept the confusion. It’s all part of the process.” “Break everything! Break your code! It’s a great way to learn how things work and how to fix stuff. Don’t be afraid to break things.” “Leave good comments in your code. You’ll thank yourself later.” “Working together starts with getting to know each other.” What are some words of wisdom you’ve gathered from the workplace? Share by commenting below. "
Coding Bootcamps Should Publish Verifiable Results,"  If you’re going to promise things to customers, you should back it up with detailed data. Want to know if an educational program is working? Ask for data about individual students and their outcome. If a program, college or school isn’t willing to provide that — run the other way. When we started Codeup, Chris, Jason and I decided to question conventional thinking about education. While the common practice is to withhold real, verifiable data about outcomes, we decided we should be open about results so our applicants can make educated decisions. We do just that here. 23 out of 27 from our May class are working. Our August class just finished up and is out finding early success in the job market. Come see us. We think you’ll be blown away. Michael"
Learning to Code vs Learning to Build,"In creating Codeup, we interviewed a lot of people, and we discovered an ugly truth: there are tons of ways out there to learn to code. However, there are few that would teach you how to apply your newfound knowledge. People would tell us: “I went through Codeacademy or a CS program at college and I can’t make anything.” As we talked to employers, we confirmed this ugly truth: tons of people can “code” but few can actually build anything. Why, we asked, do employers only want to hire people with 3+ years experience? That’s because classical education opportunities are clearly not teaching people how to build real stuff. So, for Codeup, we built a program designed not to teach people “how to code” but instead “how to build.” At each stage of the course, the emphasis is on building stuff: a blog using framework, a jQuery game, command line applications, and then a Capstone Project that is representative of a real-world, production application. If you want to be employable, learn to build stuff using code. That’s what we’re all about."
Front-end vs Back-end,"We can differentiate between front-end and back-end development easily by understanding that web designers focus on the design, typography, colors, etc. (front-end development), while web programmers focus on back-end development using specific languages (MySQL, PHP, other database languages, etc). Front-end = what you see; back-end = how it works. These days, front-end development refers to the part of the web users interact with. In the past, web development consisted of people who worked with Photoshop and those who could code HTML and CSS. Now, developers need a handle of programs like Photoshop and coding in not only in HTML and CSS, but also JavaScript or jQuery (a compiled library of JavaScript). Websites combine HTML, CSS, and JavaScript, all controlled by the browser. For example, if you use Google Chrome or Firefox, the browser translates all of the code in a manner for you to see and interact with, such as fonts, colors, drop-down menus, sliders, forms, etc. In order for all of this to work, though, something has to support the front-end; here the backend comes into play. In a previous blog, we talked about how web programmers are concerned with launching websites, updates, and maintenance, among other things. All of that works to support the front-end of the website. The back-end has three parts to it: server, application, and database. To better explain, let’s use the example of a customer trying to purchase a plane ticket using a website. Everything that the customer sees on the webpage is the front-end. However, once the customer enters all of their information (ie. their name, billing address, destination, etc), the web application stores the information in a database that was created previously on the server where the website is calling for information. The web application creates, deletes, changes, renames, etc items in the database. For example, when a customer purchases a ticket, that creates an item in the database, but when they change their order or they wish to cancel, they change the item in the database. A server, in the simplest form, is a computer accessed remotely that runs software to fulfill requests from clients. In our example, the server the customer’s browser is communicating with is where the database is stored and modified. When a customer wants to buy a ticket, the backend operation web application communicates with the server to make a change in a database stored on said server. Backend programmers use technologies like Java, PHP, Ruby, Python, and others to make this communication work smoothly, allowing the customer to purchase his or her ticket with ease. Many of these technologies relate to eachother. They all work together to make something work. Some developers can program for both front-end and back-end. However, it takes much more time to design while programming the back-end. It all depends on the project and what technologies and skills are needed where. Which do you prefer? Does front-end development with HTML, CSS, and JavaScript interest you more? Or do you see yourself as a back-end champion tackling technologies like PHP, Python, and Ruby? Whichever your choice, you can learn how to use these programming languages in Codeup. Our classes focus on Java and client-side JavaScript; This leaves room for our graduates to decide whether they would like to pursue front-end or back-end development. For the next blog, we will talk about being a full stack developer and what that entails. Interested in learning in becoming a software developer? Give us a call at (210) 802-7289 or contact us here!"
Why Colleges Suck at Making Programmers,"When creating Codeup, we went out and talked to lots of people in the tech industry both on the employer and employee side. One thing became very clear: colleges are doing a terrible job producing programmers. Here’s what we found out: Programming isn’t fun   Undergrad computer science has changed little since the late 1990s when I was in school. One thing that hasn’t changed is the high weed-out rate of students in CS. According to a study out of the Helsinki University of Technology, Finland, between 30 and 50% of CS majors drop out and switch to other majors during their first intro to CS course. The number one reason: lack of motivation. Colleges don’t make CS fun, and that’s a tragedy. College takes a long time Many people went back to school hoping to become developers.  In the case of an associate’s program, it take 2 years or more. A classic college education is four years. You do not want to know about how much it costs (click here to find out). College includes things that aren’t necessary to do a programming job Does one really need a full liberal arts degree with electives to be employable? As the recent crops of college graduates have demonstrated, a college degree doesn’t mean a future. Lectures are a terrible way to learn coding Think of programming like learning a new spoken language. Is that best done sitting in classroom or being on the streets of a foreign country talking with the locals? The same thing goes for college where the lecture format still dominates. Colleges teach what they can sell Colleges sell degrees, not futures.  If a college had to guarantee a future to its graduates, would they offer so many degrees that produce people with no useful skills? Professors (often) teach what interests them For those of us who took a class from a research professor, we discovered quickly that our semester long class would be 20% quickly going through course materials and an 80% deep dive on the professor’s personal research interests. It’s great that the professor thinks that pandas are a majestic animal, but the class is Biology, not endangered species 101. College is slow to keep up In tech, things move incredibly fast. Here’s the problem with college development: departments start planning their offerings several years before the student is taught the information. By that time, it’s likely the real world has changed so much that the student is being taught information from 3 or 4 years ago. In visiting some CS departments, I have heard from students that their professors were teaching languages that went out of real-world usage decades ago. So, STEM education is broken. Schools need to align their interests with those of the students. Schools need to make tech accessible. Schools need to put students first, rather than treat them as customers. Students should finish with a future and not a mountain of debt. And so on. Things need to change. We think there’s a better answer, and we’ve designed it. If schools sold you an education but not a future, we have the answer. Applications are open at Codeup.com."
Why Do Lawyers Get Paid the Big Money?,"Lawyers are compensated extremely well for the work that they do, but why is their pay so high, $250 per hour and beyond? Three reasons: 1) They have a skill with limited supply of people that can do it, 2) the difference between a mediocre and good lawyer is really apparent, and 3) they work on really important stuff (i.e., when people hire a lawyer, the job needs to be done right). Sound familiar? This why programmers get paid so well, too. 1) Limited supply of people Even in our very own San Antonio, TX, there just are not enough programmers to meet the demand that employers have. They often have to look elsewhere in order to find people to fulfill their technology needs. A lot of programmers who are also homegrown here in San Antonio leave the city in order to find jobs elsewhere because they are not aware of all of the opportunity that lies here.  The United States is even giving foreign people with computer science backgrounds work visas to live in the US and offer their skills. Looking for a career in which you will always be needed? This is it. 2) The difference between good and bad are apparent Any lawyer that tells you that a case is “a slam dunk” is a bad lawyer. Any lawyer that stumbles and fumbles through the law as if he or she were riding a unicycle on a rocky road is an awful lawyer. Any programmer that builds apps full of bugs and that crash every time you open them and calls it a finished product is a bad programmer. It is easy to tell the difference between something that is good and something that is awful, especially with computer programming. You know something is good when the program is doing what it is meant to do without issues. It feels flawless, which means a lot of hard work went into building it. However, like the examples above, bad lawyers and programming are quite apparent. Would you use Facebook as much if it worked like MySpace when MySpace was popular? Chances are you would not. 3) They work on important things Look at your smartphone or tablet and think about all of the apps you use on a daily basis. Then, look at your laptop or desktop computer and think about all of the things you use those for. Now, look at your job and all of the software and technology necessary to keep you afloat, aware, and productive. Chances are that you rely heavily on technology on a day-to-day basis, and a lot of it is important for our lives, personally and professionally. Computer programmers, among others, are the people behind a lot of the things we take for granted every day. They work on important things, and they need to be paid well for it. You would not want to pay as little as possible for an architect to design your family’s home; why would you want a computer programmer to be paid very little to make your life much more frustrating with buggy and incomplete software? These are just three simple reasons why computer programmers, like lawyers, get paid a lot of money. It’s really about what they do and who they do it for. Right now is the best time to learn how to become a computer programmer and start getting paid well for doing important things. If you’d like to learn more about how you can get the most out this profession, apply for Codeup and let’s talk!"
The College Financing Scam and How We’re Doing Things Differently,"Here’s the dirty secret of private college “financing” and how it really works. Private colleges first set a ridiculously high list price. Here’s my alma mater Lafayette College as an example. Their all-in cost per year now is $57,000 (food not included, sorry). Here’s the secret: most everyone doesn’t pay nearly that much. They get “financial aid.” The financial aid office studies each family’s finances, tax returns, and background and then uses a formula to determine financial aid and grants. In other words, they look to see the maximum that a family can afford and charge that amount. To repeat: colleges study how much you can possibly afford and then set the price for you. This is like a car dealer looking at your tax return and deciding how much you should pay for a car. That’s wrong. Of course, the department that looks at financial aid is a cost center for the school. Colleges have to hire financial aid assistants, governmental compliance managers, debt collectors, managers to manage the managers, and so on. Therefore, tuition has to be higher to pay for more staff to handle the amount of loans, aid, and financing that must be arranged. It’s a vicious cycle. For most colleges, the price that you pay is not only for the cost of your classes. You pay for everything else that the college has to offer, even if you do not use all of their services, such as their sports teams, gyms, luxury dormitories, etc. The rising cost of college is also affected by administrators with bloated salaries and inefficient spending, but not teacher salaries. For example, 42 college presidents made over $1 million in compensation in 2012. Additionally, many universities are having to spend millions on trying to attract more students to apply because they have to compete for students on a global scale. The result of this process is that the parents and students are forced to take out student loans that will take decades to pay off. We know tons of people who are saddled with student debt in their late 30s and early 40s. Young people graduate with tons of debt and no guarantee of a future. Is that the way education should work? We think that’s garbage. People ask if they can use government grants, conventional student loans, GI Bills, and other public or private financing sources. We say no because we don’t want to punish our students because the higher education system is fundamentally broken. If we join other educational institutions exploiting students and government funding, we’ll slowly become the bureaucratic mess they have become. Instead, we want to spend our time working to prepare our students. We think that higher-education needs a complete rethinking. Education should be tied to a future, not to a slip of paper. If an educational program wins while students lose, that is a failed institution and system. With Codeup, you get what you pay for. We put our money where our mouth is. We do not ask for government handouts. We do not saddle students with any debt until we get them a future. You win, we win. You lose, we lose. Students first, always, and that is how it should be."
Why People Can’t Learn Programming on Their Own,"While developing Codeup, we interviewed dozens of people who attempted to learn programming on their own. We wanted to delve into their experience to uncover lessons learned.  We discovered the self-taught method was done with good intentions but the result was unfortunately failure. Here are some of the reasons it didn’t work out. 1.  Beginning point Our interviewees really didn’t know where to start. The topic of technology is huge, so determining a beginning point was difficult. Most people don’t know what to learn first. One person told us she started with Java, a popular programming language. Although it’s widely used, it’s difficult to learn. I know because I wrote four books on it. 2.  Online resources suck Computers and online lessons stink at teaching anything complex. If you can’t understand a topic, your only option for clarification is to have the online resource explain it to you again the exact same way. That doesn’t work at advancing your knowledge. What is beneficial to your learning is having a live instructor understand your thought process so that he/she can customize the instruction for you. In programming, concepts build on one another. For each concept you learn, the preceding topic must be understood. If you’re missing a core concept, you won’t understand the next one. 3.  Lack of focus Computer programming is intense. We discovered that people lose their focus because the topic is not easily absorbed. It takes time to learn and practice programming, a big investment that some are not willing to make long-term. Some think they can learn it within a weekend or at night, but that approach only sets them up for failure. Another reason people lose their focus is because life gets in the way. 4.  Single minded One is a lonely number when you’re learning on your own. Lessons learned in solitude are not beneficial because there is only one perspective — yours.  People get more out of instruction when they learn in groups – the one thing the current education system gets right.  Peers within groups motivate others to perform better.  Having individuals as part of a group instantly creates a community where everyone is traveling the same journey. 5.  Reasons to learn For most people, learning programming had no clear endpoint. They had difficulty envisioning life after the lesson. Do I really get a job? Am I building something meaningful? Having invested a lot of time and energy on programming, people started to question “Why am I doing this?” The Codeup model addresses these issues in a learning system we’ve developed into a single, intense 9-week boot camp with live instructors. Students finish with a Hiring Day where they demonstrate a live, production ready application to show prospective employers. We want to teach you about programming, so you can put this skill to work to improve your life and those of others. Are you ready to step into the future?"
